Nr obwodu,Kandydat,Liczba głosów
79,LEWANDOWSKI Tomasz Jacek,52
79,PUCEK Jarosław,58
79,ZYSK Tadeusz,118
80,BONK-HAMMERMEISTER Dorota Magdalena,18
80,BRATKOWSKI Wojciech,12
80,HINC Przemysław Jakub,21
80,JAŚKOWIAK Jacek,405
80,LEWANDOWSKI Tomasz Jacek,60
80,PUCEK Jarosław,64
80,ZYSK Tadeusz,145
81,BONK-HAMMERMEISTER Dorota Magdalena,30
81,BRATKOWSKI Wojciech,9
81,HINC Przemysław Jakub,17
81,JAŚKOWIAK Jacek,444
81,LEWANDOWSKI Tomasz Jacek,56
81,PUCEK Jarosław,58
81,ZYSK Tadeusz,147
82,BONK-HAMMERMEISTER Dorota Magdalena,32
82,BRATKOWSKI Wojciech,15
82,HINC Przemysław Jakub,24
82,JAŚKOWIAK Jacek,543
82,LEWANDOWSKI Tomasz Jacek,81
82,PUCEK Jarosław,40
82,ZYSK Tadeusz,149
83,BONK-HAMMERMEISTER Dorota Magdalena,16
83,BRATKOWSKI Wojciech,4
83,HINC Przemysław Jakub,3
83,JAŚKOWIAK Jacek,233
83,LEWANDOWSKI Tomasz Jacek,46
83,PUCEK Jarosław,48
83,ZYSK Tadeusz,125
84,BONK-HAMMERMEISTER Dorota Magdalena,41
84,BRATKOWSKI Wojciech,22
84,HINC Przemysław Jakub,31
84,JAŚKOWIAK Jacek,564
84,LEWANDOWSKI Tomasz Jacek,101
84,PUCEK Jarosław,82
84,ZYSK Tadeusz,197
85,BONK-HAMMERMEISTER Dorota Magdalena,20
85,BRATKOWSKI Wojciech,21
85,HINC Przemysław Jakub,21
85,JAŚKOWIAK Jacek,459
85,LEWANDOWSKI Tomasz Jacek,88
85,PUCEK Jarosław,70
85,ZYSK Tadeusz,118
86,BONK-HAMMERMEISTER Dorota Magdalena,39
86,BRATKOWSKI Wojciech,23
86,HINC Przemysław Jakub,31
86,JAŚKOWIAK Jacek,492
86,LEWANDOWSKI Tomasz Jacek,80
86,PUCEK Jarosław,87
86,ZYSK Tadeusz,178
87,BONK-HAMMERMEISTER Dorota Magdalena,10
87,BRATKOWSKI Wojciech,15
87,HINC Przemysław Jakub,16
87,JAŚKOWIAK Jacek,272
87,LEWANDOWSKI Tomasz Jacek,52
87,PUCEK Jarosław,49
87,ZYSK Tadeusz,152
88,BONK-HAMMERMEISTER Dorota Magdalena,27
88,BRATKOWSKI Wojciech,16
88,HINC Przemysław Jakub,27
88,JAŚKOWIAK Jacek,544
88,LEWANDOWSKI Tomasz Jacek,73
88,PUCEK Jarosław,86
88,ZYSK Tadeusz,332
89,BONK-HAMMERMEISTER Dorota Magdalena,20
89,BRATKOWSKI Wojciech,9
89,HINC Przemysław Jakub,22
89,JAŚKOWIAK Jacek,391
89,LEWANDOWSKI Tomasz Jacek,66
89,PUCEK Jarosław,61
89,ZYSK Tadeusz,181
90,BONK-HAMMERMEISTER Dorota Magdalena,48
90,BRATKOWSKI Wojciech,14
90,HINC Przemysław Jakub,43
90,JAŚKOWIAK Jacek,605
90,LEWANDOWSKI Tomasz Jacek,65
90,PUCEK Jarosław,79
90,ZYSK Tadeusz,285
91,BONK-HAMMERMEISTER Dorota Magdalena,43
91,BRATKOWSKI Wojciech,17
91,HINC Przemysław Jakub,23
91,JAŚKOWIAK Jacek,472
91,LEWANDOWSKI Tomasz Jacek,92
91,PUCEK Jarosław,113
91,ZYSK Tadeusz,210
92,BONK-HAMMERMEISTER Dorota Magdalena,42
92,BRATKOWSKI Wojciech,28
92,HINC Przemysław Jakub,27
92,JAŚKOWIAK Jacek,654
92,LEWANDOWSKI Tomasz Jacek,74
92,PUCEK Jarosław,97
92,ZYSK Tadeusz,325
93,BONK-HAMMERMEISTER Dorota Magdalena,32
93,BRATKOWSKI Wojciech,20
