Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
2,61,BRATKOWSKI Wojciech,13
2,61,HINC Przemysław Jakub,34
2,61,JAŚKOWIAK Jacek,703
2,61,LEWANDOWSKI Tomasz Jacek,88
2,61,PUCEK Jarosław,58
2,61,ZYSK Tadeusz,203
2,62,BONK-HAMMERMEISTER Dorota Magdalena,30
2,62,BRATKOWSKI Wojciech,14
2,62,HINC Przemysław Jakub,25
2,62,JAŚKOWIAK Jacek,582
2,62,LEWANDOWSKI Tomasz Jacek,81
2,62,PUCEK Jarosław,55
2,62,ZYSK Tadeusz,231
2,63,BONK-HAMMERMEISTER Dorota Magdalena,29
2,63,BRATKOWSKI Wojciech,12
2,63,HINC Przemysław Jakub,19
2,63,JAŚKOWIAK Jacek,625
2,63,LEWANDOWSKI Tomasz Jacek,83
2,63,PUCEK Jarosław,118
2,63,ZYSK Tadeusz,224
2,64,BONK-HAMMERMEISTER Dorota Magdalena,25
2,64,BRATKOWSKI Wojciech,16
2,64,HINC Przemysław Jakub,24
2,64,JAŚKOWIAK Jacek,650
2,64,LEWANDOWSKI Tomasz Jacek,78
2,64,PUCEK Jarosław,74
2,64,ZYSK Tadeusz,210
2,65,BONK-HAMMERMEISTER Dorota Magdalena,19
2,65,BRATKOWSKI Wojciech,12
2,65,HINC Przemysław Jakub,12
2,65,JAŚKOWIAK Jacek,303
2,65,LEWANDOWSKI Tomasz Jacek,56
2,65,PUCEK Jarosław,48
2,65,ZYSK Tadeusz,162
2,66,BONK-HAMMERMEISTER Dorota Magdalena,26
2,66,BRATKOWSKI Wojciech,7
2,66,HINC Przemysław Jakub,31
2,66,JAŚKOWIAK Jacek,529
2,66,LEWANDOWSKI Tomasz Jacek,68
2,66,PUCEK Jarosław,59
2,66,ZYSK Tadeusz,206
2,67,BONK-HAMMERMEISTER Dorota Magdalena,20
2,67,BRATKOWSKI Wojciech,10
2,67,HINC Przemysław Jakub,21
2,67,JAŚKOWIAK Jacek,527
2,67,LEWANDOWSKI Tomasz Jacek,58
2,67,PUCEK Jarosław,47
2,67,ZYSK Tadeusz,204
2,68,BONK-HAMMERMEISTER Dorota Magdalena,32
2,68,BRATKOWSKI Wojciech,23
2,68,HINC Przemysław Jakub,32
2,68,JAŚKOWIAK Jacek,655
2,68,LEWANDOWSKI Tomasz Jacek,100
2,68,PUCEK Jarosław,94
2,68,ZYSK Tadeusz,234
2,69,BONK-HAMMERMEISTER Dorota Magdalena,31
2,69,BRATKOWSKI Wojciech,12
2,69,HINC Przemysław Jakub,36
2,69,JAŚKOWIAK Jacek,864
2,69,LEWANDOWSKI Tomasz Jacek,72
2,69,PUCEK Jarosław,77
2,69,ZYSK Tadeusz,264
2,70,BONK-HAMMERMEISTER Dorota Magdalena,43
2,70,BRATKOWSKI Wojciech,24
2,70,HINC Przemysław Jakub,48
2,70,JAŚKOWIAK Jacek,913
2,70,LEWANDOWSKI Tomasz Jacek,137
2,70,PUCEK Jarosław,103
2,70,ZYSK Tadeusz,212
3,71,BONK-HAMMERMEISTER Dorota Magdalena,42
3,71,BRATKOWSKI Wojciech,18
3,71,HINC Przemysław Jakub,18
3,71,JAŚKOWIAK Jacek,482
3,71,LEWANDOWSKI Tomasz Jacek,88
3,71,PUCEK Jarosław,82
3,71,ZYSK Tadeusz,222
3,72,BONK-HAMMERMEISTER Dorota Magdalena,16
3,72,BRATKOWSKI Wojciech,9
3,72,HINC Przemysław Jakub,19
3,72,JAŚKOWIAK Jacek,295
3,72,LEWANDOWSKI Tomasz Jacek,49
3,72,PUCEK Jarosław,48
3,72,ZYSK Tadeusz,152
3,73,BONK-HAMMERMEISTER Dorota Magdalena,31
3,73,BRATKOWSKI Wojciech,13
3,73,HINC Przemysław Jakub,11
3,73,JAŚKOWIAK Jacek,427
3,73,LEWANDOWSKI Tomasz Jacek,67
3,73,PUCEK Jarosław,55
3,73,ZYSK Tadeusz,141
3,74,BONK-HAMMERMEISTER Dorota Magdalena,11
3,74,BRATKOWSKI Wojciech,7
3,74,HINC Przemysław Jakub,11
3,74,JAŚKOWIAK Jacek,278
3,74,LEWANDOWSKI Tomasz Jacek,41
3,74,PUCEK Jarosław,33
3,74,ZYSK Tadeusz,150
3,75,BONK-HAMMERMEISTER Dorota Magdalena,18
3,75,BRATKOWSKI Wojciech,17
3,75,HINC Przemysław Jakub,22
3,75,JAŚKOWIAK Jacek,332
3,75,LEWANDOWSKI Tomasz Jacek,58
3,75,PUCEK Jarosław,73
3,75,ZYSK Tadeusz,194
3,76,BONK-HAMMERMEISTER Dorota Magdalena,43
3,76,BRATKOWSKI Wojciech,14
3,76,HINC Przemysław Jakub,17
3,76,JAŚKOWIAK Jacek,411
3,76,LEWANDOWSKI Tomasz Jacek,61
3,76,PUCEK Jarosław,48
3,76,ZYSK Tadeusz,163
3,77,BONK-HAMMERMEISTER Dorota Magdalena,21
3,77,BRATKOWSKI Wojciech,11
3,77,HINC Przemysław Jakub,12
3,77,JAŚKOWIAK Jacek,363
